Name,Gender,Age,Nationality,Years_Active,Genre_Niche,Beauty_Level,Skills,Education,Award_Wins,Media_Mentions,Social_Media_Followers,Social_Media_Likes,Network_Size,MBTI_Personality,Income_Per_Year
Isabella Tran,Female,28,Vietnamese,6,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3,450,950000,50000,4,ESTJ,"$220,000"
Daniel Martinez,Male,30,Mexican,7,Technology,9,"Software Engineering, Data Science, Artificial Intelligence",Master's Degree in Computer Science,4,600,1200000,70000,5,INTJ,"$250,000"
Mia Rodriguez,Female,29,Mexican,6,Gaming & Esports,8,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,2,400,900000,45000,4,INFP,"$200,000"
Jayden Fernandez,Male,33,Spanish,8,Fashion & Beauty,7,"Fashion Styling, Makeup Artistry, Fashion Blogging",Bachelor's Degree in Fashion Design,3,500,1000000,60000,5,ENTP,"$250,000"
Sofia Lopez,Female,27,Spanish,6,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3,500,1000000,60000,5,ESFP,"$280,000"
David Garcia,Male,35,Spanish,8,Food & Cooking,7,"Cooking, Recipe Development, Food Blogging",Culinary School,3,450,950000,50000,4,INFJ,"$220,000"
Camila Hernandez,Female,28,Spanish,6,Travel & Adventure,8,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Journalism,2,400,850000,45000,4,INTP,"$200,000"
Lucas Martinez,Male,29,Mexican,6,Parenting & Family,7,"Parenting Tips, Child Psychology, Family Vlogging",Bachelor's Degree in Early Childhood Education,3,500,1100000,65000,5,ISFJ,"$230,000"
Valentina Gomez,Female,31,Mexican,7,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3,500,1000000,60000,5,ENFP,"$230,000"
Diego Suarez,Male,28,Mexican,6,Fashion & Beauty,8,"Fashion Design, Makeup Artistry, Fashion Blogging",Bachelor's Degree in Fashion Design,3,500,1000000,60000,5,ISTJ,"$250,000"
Gabriela Garcia,Female,30,Mexican,7,Technology,8,"Software Engineering, Data Science, Artificial Intelligence",Master's Degree in Computer Science,3,550,1200000,70000,5,ESFP,"$280,000"
Javier Hernandez,Male,29,Mexican,6,Gaming & Esports,7,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,2,300,750000,35000,4,ISTP,"$180,000"
Valeria Martinez,Female,32,Mexican,7,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3,450,950000,50000,4,ENFJ,"$220,000"
Carlos Gomez,Male,30,Mexican,8,Food & Cooking,7,"Cooking, Recipe Development, Food Styling",Culinary School,3,450,950000,50000,4,INFJ,"$220,000"
Sofia Ramirez,Female,28,Mexican,6,Travel & Adventure,8,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Journalism,2,400,850000,45000,4,ISTP,"$180,000"
Emily Baker,Female,27,American,6,Fitness & Nutrition,8,"Personal Training, Nutrition Coaching, Fitness Modeling",Bachelor's Degree in Nutrition,3,400,850000,45000,4,ISTJ,"$200,000"
Elijah Brown,Male,31,American,7,Fashion & Beauty,7,"Fashion Design, Makeup Artistry, Fashion Blogging",Bachelor's Degree in Fashion Design,2,350,800000,40000,4,ENFJ,"$180,000"
Ava Patel,Female,29,Indian,6,Technology,9,"Software Engineering, Data Science, Artificial Intelligence",Master's Degree in Computer Science,4,600,1200000,70000,5,INTJ,"$250,000"
Ethan Nguyen,Male,30,Vietnamese,8,Travel & Adventure,8,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Tourism,3,500,1000000,60000,5,INFJ,"$220,000"
Sophia Kim,Female,27,Korean,5,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3,500,1000000,60000,5,ENTP,"$230,000"
William Chen,Male,35,Chinese,9,Food & Cooking,8,"Culinary Skills, Recipe Development, Food Styling",Culinary School,4,550,1100000,65000,5,ESTJ,"$280,000"
Olivia Rodriguez,Female,30,Mexican,8,Gaming & Esports,9,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,2,400,900000,45000,4,INFP,"$200,000"
James Garcia,Male,28,Spanish,6,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3,450,950000,50000,4,ENFP,"$220,000"
Emma Martinez,Female,32,Mexican,7,Fashion & Lifestyle,7,"Fashion Styling, Fashion Photography, Fashion Blogging",Bachelor's Degree in Fashion Design,3,500,1100000,65000,5,INTJ,"$250,000"
Daniel Lopez,Male,29,Mexican,6,Beauty & Makeup,9,"Makeup Artistry, Skincare, Beauty Vlogging",Bachelor's Degree in Cosmetology,2,400,850000,45000,4,ISFP,"$200,000"
Sophia Nguyen,Female,31,Vietnamese,7,Photography & Travel,8,"Photography, Videography, Travel Writing",Self-Taught,4,600,1300000,75000,5,ISTJ,"$300,000"
Alexander Tran,Male,28,Vietnamese,6,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3,450,950000,50000,4,ESTJ,"$220,000"
Mia Garcia,Female,30,Mexican,7,Technology,9,"Software Engineering, Data Science, Artificial Intelligence",Master's Degree in Computer Science,4,600,1200000,70000,5,INTJ,"$250,000"
Noah Hernandez,Male,29,Mexican,6,Gaming & Esports,8,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,2,400,900000,45000,4,INFP,"$200,000"
Isabella Rodriguez,Female,32,Mexican,7,Fashion & Beauty,7,"Fashion Styling, Makeup Artistry, Fashion Blogging",Bachelor's Degree in Fashion Design,3,500,1000000,60000,5,ENFP,"$230,000"
Liam Gomez,Male,30,Mexican,8,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3,500,1000000,60000,5,ESFP,"$280,000"
Sophia Martinez,Female,28,Mexican,6,Food & Cooking,7,"Cooking, Recipe Development, Food Blogging",Culinary School,3,450,950000,50000,4,INFJ,"$220,000"
Oliver Garcia,Male,32,Mexican,7,Travel & Adventure,7,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Journalism,2,400,850000,45000,4,INTP,"$200,000"
Ava Rodriguez,Female,29,Mexican,6,Parenting & Family,7,"Parenting Tips, Child Psychology, Family Vlogging",Bachelor's Degree in Early Childhood Education,3,500,1100000,65000,5,ISFJ,"$230,000"
Noah Hernandez,Male,31,Mexican,8,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3,500,1000000,60000,5,ENFP,"$230,000"
Isabella Nguyen,Female,27,Vietnamese,6,Beauty & Makeup,8,"Makeup Artistry, Skincare, Beauty Blogging",Bachelor's Degree in Cosmetology,2,400,850000,45000,4,ESFJ,"$200,000"
Liam Chen,Male,34,Chinese,7,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3,450,950000,50000,4,ESTJ,"$220,000"
Emma Nguyen,Female,29,Vietnamese,6,Food & Cooking,8,"Culinary Skills, Recipe Development, Food Styling",Culinary School,3,450,950000,50000,4,ENFJ,"$220,000"
Daniel Kim,Male,30,Korean,7,Travel & Adventure,8,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Tourism,2,400,850000,45000,4,INTP,"$200,000"
Sophia Hernandez,Female,28,Mexican,6,Fashion & Beauty,7,"Fashion Design, Modeling, Fashion Blogging",Bachelor's Degree in Fashion Design,3,500,1100000,65000,5,ISFJ,"$230,000"
Alexander Nguyen,Male,33,Vietnamese,8,Technology,8,"Software Engineering, Data Science, Artificial Intelligence",Master's Degree in Computer Science,3,550,1200000,70000,5,ESFP,"$280,000"
Olivia Kim,Female,27,Korean,6,Gaming & Esports,7,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,2,300,750000,35000,4,ISTP,"$180,000"
James Nguyen,Male,35,Vietnamese,8,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3,500,1000000,60000,5,ENFP,"$230,000"
Emma Lee,Female,28,Korean,6,Food & Cooking,8,"Culinary Skills, Recipe Development, Food Styling",Culinary School,3,450,950000,50000,4,INFJ,"$220,000"
Noah Kim,Male,30,Korean,7,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3,450,950000,50000,4,ESTJ,"$220,000"
Sophia Nguyen,Female,29,Vietnamese,6,Travel & Adventure,8,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Journalism,2,400,850000,45000,4,INTP,"$200,000"
Alexander Tran,Male,31,Vietnamese,7,Parenting & Family,7,"Parenting Tips, Child Psychology, Family Vlogging",Bachelor's Degree in Early Childhood Education,3,500,1100000,65000,5,ISFJ,"$230,000"
Olivia Nguyen,Female,27,Vietnamese,6,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3,500,1000000,60000,5,ENFP,"$230,000"
James Kim,Male,32,Korean,7,Food & Cooking,7,"Cooking, Recipe Development, Food Blogging",Culinary School,3,450,950000,50000,4,INFJ,"$220,000"
Emma Nguyen,Female,28,Vietnamese,6,Travel & Adventure,8,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Journalism,2,400,850000,45000,4,INTP,"$200,000"
Oliver Tran,Male,30,Vietnamese,7,Parenting & Family,7,"Parenting Tips, Child Psychology, Family Vlogging",Bachelor's Degree in Early Childhood Education,3,500,1100000,65000,5,ISFJ,"$230,000"
Sophia Nguyen,Female,29,Vietnamese,6,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3,500,1000000,60000,5,ENFP,"$230,000"
Alexander Kim,Male,33,Korean,8,Food & Cooking,7,"Cooking, Recipe Development, Food Blogging",Culinary School,3,450,950000,50000,4,INFJ,"$220,000"
Olivia Tran,Female,27,Vietnamese,6,Travel & Adventure,8,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Journalism,2,400,850000,45000,4,INTP,"$200,000"
James Nguyen,Male,35,Vietnamese,8,Parenting & Family,7,"Parenting Tips, Child Psychology, Family Vlogging",Bachelor's Degree in Early Childhood Education,3,500,1100000,65000,5,ISFJ,"$230,000"
Emma Tran,Female,28,Vietnamese,6,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3,500,1000000,60000,5,ENFP,"$230,000"
Sophie Johnson,Female,27,British,6,Fitness & Nutrition,8,"Personal Training, Nutrition Coaching, Fitness Modeling",Bachelor's Degree in Nutrition,3,400,850000,45000,4,ISTJ,"$200,000"
Oliver Smith,Male,31,British,7,Fashion & Beauty,7,"Fashion Design, Makeup Artistry, Fashion Blogging",Bachelor's Degree in Fashion Design,2,350,800000,40000,4,ENFJ,"$180,000"
Zara Ali,Female,29,Indian,6,Technology,9,"Software Engineering, Data Science, Artificial Intelligence",Master's Degree in Computer Science,4,600,1200000,70000,5,INTJ,"$250,000"
Ethan Patel,Male,30,Indian,8,Travel & Adventure,8,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Tourism,3,500,1000000,60000,5,INFJ,"$220,000"
Aisha Khan,Female,27,Indian,5,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3,500,1000000,60000,5,ENTP,"$230,000"
Rohan Singh,Male,35,Indian,9,Food & Cooking,8,"Culinary Skills, Recipe Development, Food Styling",Culinary School,4,550,1100000,65000,5,ESTJ,"$280,000"
Maya Gupta,Female,30,Indian,8,Gaming & Esports,9,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,2,400,900000,45000,4,INFP,"$200,000"
Arjun Sharma,Male,29,Indian,6,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3,450,950000,50000,4,ENFP,"$220,000"
Sofia Kumar,Female,32,Indian,7,Fashion & Lifestyle,7,"Fashion Styling, Fashion Photography, Fashion Blogging",Bachelor's Degree in Fashion Design,3,500,1100000,65000,5,INTJ,"$250,000"
Vikram Patel,Male,28,Indian,6,Beauty & Makeup,9,"Makeup Artistry, Skincare, Beauty Vlogging",Bachelor's Degree in Cosmetology,2,400,850000,45000,4,ISFP,"$200,000"
Isha Singh,Female,31,Indian,7,Photography & Travel,8,"Photography, Videography, Travel Writing",Self-Taught,4,600,1300000,75000,5,ISTJ,"$300,000"
Raj Kapoor,Male,28,Indian,6,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3,450,950000,50000,4,ESTJ,"$220,000"
Ananya Gupta,Female,30,Indian,7,Technology,9,"Software Engineering, Data Science, Artificial Intelligence",Master's Degree in Computer Science,4,600,1200000,70000,5,INTJ,"$250,000"
Kabir Sharma,Male,29,Indian,6,Gaming & Esports,8,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,2,400,900000,45000,4,INFP,"$200,000"
Priya Khan,Female,32,Indian,7,Fashion & Beauty,7,"Fashion Styling, Makeup Artistry, Fashion Blogging",Bachelor's Degree in Fashion Design,3,500,1000000,60000,5,ENFP,"$230,000"
Aditya Patel,Male,30,Indian,8,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3,500,1000000,60000,5,ESFP,"$280,000"
Neha Kumar,Female,28,Indian,6,Food & Cooking,7,"Cooking, Recipe Development, Food Blogging",Culinary School,3,450,950000,50000,4,INFJ,"$220,000"
Aryan Singh,Male,32,Indian,7,Travel & Adventure,7,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Tourism,2,400,850000,45000,4,INTP,"$200,000"
Priya Gupta,Female,29,Indian,6,Parenting & Family,7,"Parenting Tips, Child Psychology, Family Vlogging",Bachelor's Degree in Early Childhood Education,3,500,1100000,65000,5,ISFJ,"$230,000"
Rishi Kumar,Male,28,Indian,6,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3,500,1000000,60000,5,ENFP,"$230,000"
Neha Patel,Female,27,Indian,5,Beauty & Makeup,8,"Makeup Artistry, Skincare, Beauty Blogging",Bachelor's Degree in Cosmetology,2,400,850000,45000,4,ESFJ,"$200,000"
Kabir Singh,Male,34,Indian,7,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3,450,950000,50000,4,ESTJ,"$220,000"
Anjali Gupta,Female,30,Indian,8,Technology,8,"Software Engineering, Data Science, Artificial Intelligence",Master's Degree in Computer Science,3,550,1200000,70000,5,ESFP,"$280,000"
Arjun Sharma,Male,29,Indian,6,Gaming & Esports,7,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,2,300,750000,35000,4,ISTP,"$180,000"
Nisha Kumar,Female,31,Indian,7,Fashion & Beauty,7,"Fashion Design, Modeling, Fashion Blogging",Bachelor's Degree in Fashion Design,3,500,1100000,65000,5,ISFJ,"$230,000"
Rahul Singh,Male,28,Indian,6,Food & Cooking,7,"Cooking, Recipe Development, Food Styling",Culinary School,3,450,950000,50000,4,INFJ,"$220,000"
Riya Sharma,Female,27,Indian,5,Travel & Adventure,8,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Tourism,2,400,850000,45000,4,INTP,"$200,000"
Arjun Patel,Male,30,Indian,7,Parenting & Family,7,"Parenting Tips, Child Psychology, Family V",,,,,,,,
Emma Thompson,Female,32,American,7,Fashion & Beauty,8,"Fashion Design, Makeup Artistry, Fashion Blogging",Bachelor's Degree in Fashion Design,3,400,850000,45000,4,ISTJ,"$200,000"
Oliver Wilson,Male,28,British,6,Fitness & Nutrition,9,"Personal Training, Nutrition Coaching, Fitness Modeling",Bachelor's Degree in Nutrition,4,500,900000,50000,5,ENTJ,"$220,000"
Sophia Garcia,Female,29,Mexican,8,Technology,8,"Software Engineering, Data Science, Artificial Intelligence",Master's Degree in Computer Science,5,600,1200000,70000,6,INTP,"$250,000"
Daniel Kim,Male,31,Korean,9,Travel & Adventure,7,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Tourism,3,450,950000,55000,4,ENTP,"$210,000"
Ava Johnson,Female,27,Canadian,5,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,2,350,800000,40000,3,INFP,"$180,000"
Liam Lee,Male,33,Irish,8,Food & Cooking,7,"Culinary Skills, Recipe Development, Food Styling",Culinary School,3,550,1100000,65000,5,ISFJ,"$270,000"
Olivia Martinez,Female,30,Mexican,7,Gaming & Esports,9,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,4,600,1300000,75000,6,INTJ,"$300,000"
Noah Rodriguez,Male,29,Spanish,6,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,2,400,850000,45000,4,ENFJ,"$200,000"
Isabella Nguyen,Female,31,Vietnamese,8,Fashion & Lifestyle,8,"Fashion Styling, Fashion Photography, Fashion Blogging",Bachelor's Degree in Fashion Design,3,500,1000000,60000,5,ISFP,"$250,000"
William Lopez,Male,30,Mexican,6,Beauty & Makeup,9,"Makeup Artistry, Skincare, Beauty Vlogging",Bachelor's Degree in Cosmetology,2,400,850000,45000,4,ISTP,"$200,000"
Sophia Nguyen,Female,28,Vietnamese,7,Photography & Travel,8,"Photography, Videography, Travel Writing",Self-Taught,4,600,1300000,75000,6,ISTJ,"$300,000"
Alexander Tran,Male,32,Vietnamese,8,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,2,400,850000,45000,4,ENFP,"$200,000"
Mia Kim,Female,29,Korean,6,Technology,9,"Software Engineering, Data Science, Artificial Intelligence",Master's Degree in Computer Science,5,600,1200000,70000,6,INTJ,"$250,000"
Ethan Hernandez,Male,28,Spanish,7,Gaming & Esports,8,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,3,500,1000000,60000,5,ENTP,"$220,000"
Ava Tran,Female,32,Vietnamese,8,Fashion & Beauty,7,"Fashion Design, Makeup Artistry, Fashion Blogging",Bachelor's Degree in Fashion Design,3,500,1000000,60000,5,INFJ,"$250,000"
Liam Kim,Male,30,Korean,7,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3,500,1000000,60000,5,ESFP,"$250,000"
Sophia Nguyen,Female,28,Vietnamese,6,Food & Cooking,8,"Culinary Skills, Recipe Development, Food Styling",Culinary School,3,450,950000,50000,4,INFJ,"$220,000"
Oliver Martinez,Male,33,Mexican,7,Travel & Adventure,8,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Journalism,3,550,1200000,70000,5,ISTP,"$280,000"
Emma Tran,Female,27,Vietnamese,6,Parenting & Family,7,"Parenting Tips, Child Psychology, Family Vlogging",Bachelor's Degree in Early Childhood Education,3,500,1100000,65000,5,ISFJ,"$230,000"
James Nguyen,Male,29,Vietnamese,6,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3,500,1000000,60000,5,ENFP,"$230,000"
Ava Tran,Female,31,Vietnamese,7,Beauty & Makeup,8,"Makeup Artistry, Skincare, Beauty Vlogging",Bachelor's Degree in Cosmetology,2,400,850000,45000,4,ESFJ,"$200,000"
Oliver Kim,Male,34,Korean,8,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3,450,950000,50000,4,ESTJ,"$220,000"
Sophia Nguyen,Female,30,Vietnamese,7,Technology,9,"Software Engineering, Data Science, Artificial Intelligence",Master's Degree in Computer Science,4,600,1200000,70000,6,ESFP,"$280,000"
Alexander Kim,Male,27,Korean,6,Gaming & Esports,7,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,2,400,900000,45000,4,INTP,"$200,000"
Olivia Lee,Female,31,Korean,7,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3,500,1000000,60000,5,ENFP,"$230,000"
Noah Tran,Male,33,Vietnamese,8,Food & Cooking,7,"Cooking, Recipe Development, Food Blogging",Culinary School,3,450,950000,50000,4,INFJ,"$220,000"
Isabella Kim,Female,27,Korean,6,Travel & Adventure,8,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Tourism,2,400,850000,45000,4,INTP,"$200,000"
Sophia Lee,Female,28,American,6,Fitness & Nutrition,8,"Personal Training, Nutrition Coaching, Fitness Modeling",Bachelor's Degree in Nutrition,3,400,850000,45000,4,ISTJ,"$200,000"
Ethan Johnson,Male,32,Canadian,8,Fashion & Beauty,7,"Fashion Design, Makeup Artistry, Fashion Blogging",Bachelor's Degree in Fashion Design,2,350,800000,40000,4,ENFJ,"$180,000"
Aisha Khan,Female,30,Indian,7,Technology,9,"Software Engineering, Data Science, Artificial Intelligence",Master's Degree in Computer Science,4,600,1200000,70000,5,INTJ,"$250,000"
Daniel Martinez,Male,29,Mexican,6,Travel & Adventure,8,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Tourism,3,500,1000000,60000,5,INFJ,"$220,000"
Sophie Kim,Female,27,Korean,5,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3,500,1000000,60000,5,ENTP,"$230,000"
Oliver Chen,Male,35,Chinese,9,Food & Cooking,8,"Culinary Skills, Recipe Development, Food Styling",Culinary School,4,550,1100000,65000,5,ISTP,"$280,000"
Ava Rodriguez,Female,31,Mexican,8,Gaming & Esports,9,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,2,400,900000,45000,4,INFP,"$200,000"
Noah Garcia,Male,28,Spanish,6,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3,450,950000,50000,4,ENFP,"$220,000"
Emma Lopez,Female,33,Spanish,7,Fashion & Lifestyle,7,"Fashion Styling, Fashion Photography, Fashion Blogging",Bachelor's Degree in Fashion Design,3,500,1100000,65000,5,INTJ,"$250,000"
William Nguyen,Male,30,Vietnamese,8,Beauty & Makeup,9,"Makeup Artistry, Skincare, Beauty Vlogging",Bachelor's Degree in Cosmetology,2,400,850000,45000,4,ISFP,"$200,000"
Sophia Tran,Female,32,Vietnamese,7,Photography & Travel,8,"Photography, Videography, Travel Writing",Self-Taught,4,600,1300000,75000,5,ISTJ,"$300,000"
Ethan Tran,Male,28,Vietnamese,6,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3,450,950000,50000,4,ESTJ,"$220,000"
Ava Khan,Female,30,Indian,7,Technology,9,"Software Engineering, Data Science, Artificial Intelligence",Master's Degree in Computer Science,4,600,1200000,70000,5,INTJ,"$250,000"
Daniel Lee,Male,29,Korean,6,Gaming & Esports,8,"Gaming Skills, Strategy, Esports Commentary",Bachelor's Degree in Computer Science,2,400,900000,45000,4,INFP,"$200,000"
Sophia Rodriguez,Female,32,Mexican,7,Fashion & Beauty,7,"Fashion Styling, Makeup Artistry, Fashion Blogging",Bachelor's Degree in Fashion Design,3,500,1000000,60000,5,ENFP,"$230,000"
Oliver Kim,Male,30,Korean,8,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3,500,1000000,60000,5,ESFP,"$280,000"
Ava Garcia,Female,28,Mexican,6,Food & Cooking,7,"Cooking, Recipe Development, Food Blogging",Culinary School,3,450,950000,50000,4,INFJ,"$220,000"
Noah Hernandez,Male,32,Mexican,7,Travel & Adventure,7,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Journalism,2,400,850000,45000,4,INTP,"$200,000"
Emma Tran,Female,29,Vietnamese,6,Parenting & Family,7,"Parenting Tips, Child Psychology, Family Vlogging",Bachelor's Degree in Early Childhood Education,3,500,1100000,65000,5,ISFJ,"$230,000"
William Nguyen,Male,27,Vietnamese,6,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3,500,1000000,60000,5,ENFP,"$230,000"
Sophia Tran,Female,32,Vietnamese,7,Beauty & Makeup,8,"Makeup Artistry, Skincare, Beauty Blogging",Bachelor's Degree in Cosmetology,2,400,850000,45000,4,ESFJ,"$200,000"
Oliver Nguyen,Male,34,Vietnamese,7,Comedy,7,"Stand-up Comedy, Improvisation, Writing",Bachelor's Degree in Theater Arts,3,450,950000,50000,4,ESTJ,"$220,000"
Emma Kim,Female,29,Korean,6,Food & Cooking,8,"Culinary Skills, Recipe Development, Food Styling",Culinary School,3,450,950000,50000,4,ENFJ,"$220,000"
William Tran,Male,30,Vietnamese,7,Travel & Adventure,8,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Tourism,2,400,850000,45000,4,INTP,"$200,000"
Sophia Kim,Female,31,Korean,7,Parenting & Family,7,"Parenting Tips, Child Psychology, Family Vlogging",Bachelor's Degree in Early Childhood Education,3,500,1100000,65000,5,ISFJ,"$230,000"
Oliver Nguyen,Male,27,Vietnamese,6,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3,500,1000000,60000,5,ENFP,"$230,000"
Emma Kim,Female,32,Korean,7,Food & Cooking,7,"Cooking, Recipe Development, Food Blogging",Culinary School,3,450,950000,50000,4,INFJ,"$220,000"
William Tran,Male,29,Vietnamese,6,Travel & Adventure,8,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Journalism,2,400,850000,45000,4,INTP,"$200,000"
Sophia Nguyen,Female,31,Vietnamese,7,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3,500,1000000,60000,5,ENFP,"$230,000"
Oliver Kim,Male,33,Korean,8,Food & Cooking,7,"Cooking, Recipe Development, Food Blogging",Culinary School,3,450,950000,50000,4,INFJ,"$220,000"
Emma Nguyen,Female,28,Vietnamese,6,Travel & Adventure,8,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Journalism,2,400,850000,45000,4,INTP,"$200,000"
William Kim,Male,30,Korean,7,Parenting & Family,7,"Parenting Tips, Child Psychology, Family Vlogging",Bachelor's Degree in Early Childhood Education,3,500,1100000,65000,5,ISFJ,"$230,000"
Sophia Nguyen,Female,29,Vietnamese,6,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3,500,1000000,60000,5,ENFP,"$230,000"
Oliver Kim,Male,32,Korean,7,Food & Cooking,7,"Cooking, Recipe Development, Food Blogging",Culinary School,3,450,950000,50000,4,INFJ,"$220,000"
Emma Nguyen,Female,27,Vietnamese,6,Travel & Adventure,8,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Journalism,2,400,850000,45000,4,INTP,"$200,000"
William Kim,Male,35,Vietnamese,8,Parenting & Family,7,"Parenting Tips, Child Psychology, Family Vlogging",Bachelor's Degree in Early Childhood Education,3,500,1100000,65000,5,ISFJ,"$230,000"
Sophia Tran,Female,28,Vietnamese,6,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3,500,1000000,60000,5,ENFP,"$230,000"
Oliver Nguyen,Male,33,Vietnamese,8,Food & Cooking,7,"Cooking, Recipe Development, Food Blogging",Culinary School,3,450,950000,50000,4,INFJ,"$220,000"
Emma Kim,Female,27,Vietnamese,6,Travel & Adventure,8,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Journalism,2,400,850000,45000,4,INTP,"$200,000"
William Tran,Male,29,Vietnamese,6,Parenting & Family,7,"Parenting Tips, Child Psychology, Family Vlogging",Bachelor's Degree in Early Childhood Education,3,500,1100000,65000,5,ISFJ,"$230,000"
Sophia Nguyen,Female,31,Vietnamese,7,Music,8,"Singing, Songwriting, Music Production",Bachelor's Degree in Music,3,500,1000000,60000,5,ENFP,"$230,000"
Oliver Kim,Male,34,Korean,8,Food & Cooking,7,"Cooking, Recipe Development, Food Blogging",Culinary School,3,450,950000,50000,4,INFJ,"$220,000"
Emma Nguyen,Female,28,Vietnamese,6,Travel & Adventure,8,"Travel Writing, Photography, Adventure Sports",Bachelor's Degree in Journalism,2,400,850000,45000,4,INTP,"$200,000"
William Kim,Male,30,Vietnamese,7,Parenting & Family,7,"Parenting Tips, Child Psychology, Family Vlogging",Bachelor's Degree in Early Childhood Education,3,500,1100000,65000,5,ISFJ,"$230,000"
